test_id,test_index,nearest_mse_train_id,nearest_mse_train_index,nearest_mse,nearest_rmse,nearest_cosine_at_mse,nearest_cosine_train_id,nearest_cosine_train_index,max_cosine,mse_at_max_cosine,y_test,y_train_nearest_mse,label_conflict_nearest_mse,near_mse_flag,near_cosine_flag
test_0926,926,train_0929,929,0.003266468644142151,0.05715302750468254,0.9822367429733276,train_0929,929,0.9822367429733276,0.003266468644142151,1,1,False,False,False
test_0927,927,train_1126,1126,0.00789506733417511,0.08885419368743896,0.9687625169754028,train_1124,1124,0.9687872529029846,0.010747522115707397,1,1,False,False,False
test_0928,928,train_0928,928,0.0043012648820877075,0.06558402627706528,0.9785299301147461,train_0928,928,0.9785299301147461,0.0043012648820877075,1,1,False,False,False
test_0929,929,train_0929,929,0.0036156177520751953,0.060130007565021515,0.9859793186187744,train_0929,929,0.9859793186187744,0.0036156177520751953,1,1,False,False,False
test_0930,930,train_0932,932,0.007820218801498413,0.08843199908733368,0.9758782386779785,train_0932,932,0.9758782386779785,0.007820218801498413,1,1,False,False,False
test_0931,931,train_0929,929,0.0038948655128479004,0.06240885704755783,0.9793144464492798,train_0929,929,0.9793144464492798,0.0038948655128479004,1,1,False,False,False
test_0932,932,train_0932,932,0.0046596527099609375,0.06826164573431015,0.9890949726104736,train_0932,932,0.9890949726104736,0.0046596527099609375,1,1,False,False,False
test_0933,933,train_0936,936,0.004028797149658203,0.06347280740737915,0.9938605427742004,train_0936,936,0.9938605427742004,0.004028797149658203,0,0,False,False,False
test_0934,934,train_0936,936,0.0035498738288879395,0.05958081781864166,0.9948382377624512,train_0936,936,0.9948382377624512,0.0035498738288879395,0,0,False,False,False
test_0935,935,train_0942,942,0.006001830101013184,0.07747147977352142,0.9907326102256775,train_0942,942,0.9907326102256775,0.006001830101013184,0,0,False,False,False
test_0936,936,train_0936,936,0.0072324275970458984,0.08504368364810944,0.990469753742218,train_0938,938,0.9914013147354126,0.007265567779541016,0,0,False,False,False
test_0937,937,train_0937,937,0.012020230293273926,0.1096368134021759,0.9862520694732666,train_0937,937,0.9862520694732666,0.012020230293273926,0,0,False,False,False
test_0938,938,train_0938,938,0.004320383071899414,0.06572961807250977,0.9932094216346741,train_0938,938,0.9932094216346741,0.004320383071899414,0,0,False,False,False
test_0939,939,train_0940,940,0.0014187097549438477,0.03766576200723648,0.9979156851768494,train_0940,940,0.9979156851768494,0.0014187097549438477,0,0,False,False,False
test_0940,940,train_0934,934,0.0071419477462768555,0.08451004326343536,0.9888560771942139,train_0934,934,0.9888560771942139,0.0071419477462768555,0,0,False,False,False
test_0941,941,train_0951,951,0.0038574934005737305,0.06210872158408165,0.9936860799789429,train_0951,951,0.9936860799789429,0.0038574934005737305,0,0,False,False,False
test_0942,942,train_0940,940,0.0037976503372192383,0.061625078320503235,0.9942381381988525,train_0940,940,0.9942381381988525,0.0037976503372192383,0,0,False,False,False
test_0943,943,train_0944,944,0.003566443920135498,0.05971971154212952,0.9944331049919128,train_0944,944,0.9944331049919128,0.003566443920135498,0,0,False,False,False
test_0944,944,train_0945,945,0.0033974647521972656,0.05828777700662613,0.9958227872848511,train_0945,945,0.9958227872848511,0.0033974647521972656,0,0,False,False,False
