flat_pixel_index,mean_pixel_evidence_drop,mean_pixel_evidence_drop_class0,mean_pixel_evidence_drop_class1
320,0.00017064444546122104,-0.0003583235084079206,0.0008905102149583399
321,0.00024006424064282328,2.8450313038774766e-05,0.0005280469777062535
322,0.0001324853510595858,-0.0002663042687345296,0.0006751929759047925
323,0.000360518490197137,-0.00022581453958991915,0.0011584514286369085
324,0.00018482985615264624,4.012346107629128e-05,0.00038175893132574856
325,7.618674862897024e-05,-8.872606122167781e-05,0.0003006144834216684
326,0.00028675011708401144,0.0004495834291446954,6.515230779768899e-05
327,0.00038452629814855754,3.771622868953273e-05,0.0008564956951886415
328,7.241855200845748e-05,-0.00041834928561002016,0.0007402981864288449
329,-3.0578653422708157e-06,-0.00012717291247099638,0.00016584864351898432
330,0.00026962708216160536,0.0003748779708985239,0.00012639244960155338
331,0.00012358897947706282,0.00020871621381957084,7.740454748272896e-06
332,0.00021586852381005883,-0.00011103833094239235,0.0006607520044781268
333,0.00011296680895611644,0.00036054514930583537,-0.0002239593886770308
334,1.4240019481803756e-05,-0.0004235404485370964,0.000610009825322777
335,0.00014003970136400312,0.0004994177143089473,-0.00034903312916867435
336,0.00010778247815323994,0.0004365017812233418,-0.0003395673120394349
337,7.762492168694735e-05,-0.00013510968710761517,0.0003671327722258866
338,0.00019438954768702388,0.0003238825302105397,1.8164184439228848e-05
339,0.0004331573436502367,-0.00019572796009015292,0.0012889993377029896
340,0.0008568314951844513,-0.0003285837301518768,0.002470046281814575
341,0.00053472223225981,-0.00045200789463706315,0.0018775510834529996
342,0.0006391777424141765,-0.0006267974968068302,0.002362026134505868
343,0.0002437970251776278,-0.0005126887699589133,0.001273288857191801
344,0.00013135229528415948,-0.0002558207488618791,0.0006582511123269796
345,7.460329652531072e-05,6.973107520025223e-05,8.123381849145517e-05
346,3.6739926144946367e-05,-9.74475042312406e-05,0.0002193538675783202
347,-0.00010388566442998126,0.00026297569274902344,-0.000603142601903528
348,0.0001180044055217877,0.0005567929474636912,-0.0004791372630279511
349,0.00030051948851905763,-7.590858876938e-05,0.0008127955952659249
350,9.093924018088728e-05,0.0008957423851825297,-0.0010043070651590824
351,8.020168024813756e-05,0.00025254301726818085,-0.00015433540102094412
352,0.00027289256104268134,-0.0004637883394025266,0.0012754319468513131
353,0.00019078658078797162,8.242244803113863e-05,0.000338257901603356
354,6.110716640250757e-05,-7.87751778261736e-05,0.00025147123960778117
355,0.00023720167519059032,-5.6980275985552e-05,0.0006375500815920532
356,0.0001628851459827274,-0.00021703296806663275,0.00067991076502949
357,0.0002750377752818167,0.00011859161168104038,0.00048794326721690595
358,0.00026768032694235444,0.0003145769878756255,0.00020385936659295112
359,0.00033167158835567534,0.00037939142202958465,0.00026673037791624665
360,9.718711953610182e-05,0.0001699752319836989,-1.8692620642468682e-06
361,2.960612255265005e-05,0.00015973328845575452,-0.00014748226385563612
362,0.00011401648225728422,3.9568301872350276e-05,0.00021533211111091077
363,0.00045728025725111365,2.0696676074294373e-05,0.0010514211608096957
364,0.00027762845274992287,0.0002617043792270124,0.00029929925221949816
365,0.0002927956229541451,0.0007513074669986963,-0.0003311872133053839
366,0.00023756471637170762,6.755131471436471e-05,0.00046893369290046394
367,5.8253182942280546e-05,-9.347509148938116e-06,0.00015025012544356287
368,7.011766138020903e-05,0.00048006189172156155,-0.00048777012852951884
369,-9.433928789803758e-05,0.00027721122023649514,-0.0005999776185490191
370,8.228232036344707e-05,-0.00011364910460542887,0.00034892288385890424
371,0.0007987162680365145,0.00010985250992234796,0.0017361822538077831
372,0.00038317139842547476,-0.0004655448719859123,0.001538178650662303
373,0.0003209330316167325,-0.00011017931683454663,0.0009076282731257379
374,8.33902377053164e-05,-9.544302156427875e-05,0.00032676212140358984
375,0.00030126061756163836,-0.0003942488692700863,0.001247770618647337
376,0.0001979839726118371,-9.654177847551182e-05,0.0005988002521917224
377,0.00016106781549751759,-0.0006132930284366012,0.0012148853857070208
378,5.286145551508525e-06,-0.0003306125581730157,0.0004624063440132886
379,-3.415817673158017e-06,-0.0002350041613681242,0.00031174978357739747
380,-4.069621718372218e-05,0.0006593468715436757,-0.000993375782854855
381,0.00020345108350738883,0.0004194065404590219,-9.043989120982587e-05
382,8.341914508491755e-05,-3.213997115381062e-05,0.00024068205675575882
383,0.00026813955628313124,0.0007045913371257484,-0.00032582206767983735
384,0.000349155132425949,0.0004115547926630825,0.00026423620874993503
385,4.8162641178350896e-05,-0.0004583323316182941,0.0007374452543444932
386,-5.5575579608557746e-05,0.0001408608804922551,-0.00032290341914631426
387,0.00022316414106171578,-0.00013088120613247156,0.0007049799314700067
388,4.0659211663296446e-05,0.0004098743083886802,-0.0004618008097168058
389,0.00013799387670587748,0.0003103181079495698,-9.651995060266927e-05
390,0.0002597347483970225,0.00022862496552988887,0.00030207159579731524
391,0.00014856737107038498,7.465141970897093e-05,0.00024915862013585865
392,-0.0001176059668068774,0.0002521286078263074,-0.0006207728292793036
393,-0.000238585562328808,0.00024225129163824022,-0.0008929501054808497
394,-1.2191529776828247e-06,-8.78175997058861e-05,0.00011663155601127073
395,-8.905489812605083e-05,0.00014347243995871395,-0.000405498401960358
396,-8.501720731146634e-05,0.00031445440254174173,-0.0006286528659984469
397,0.00033519111457280815,-3.696971543831751e-05,0.0008416600176133215
398,0.0002611770760267973,-7.851432746974751e-05,0.000723458593711257
399,0.0001728243805700913,0.00046008199569769204,-0.00021810077305417508
400,4.3322907004039735e-05,-0.0002741411735769361,0.0004753556859213859
401,0.00016118824714794755,-0.00017913227202370763,0.0006243259995244443
402,0.0002762994554359466,-6.758407107554376e-05,0.0007442861096933484
403,0.0006118732271715999,-8.728698594495654e-05,0.0015633514849469066
404,0.0003451709926594049,-6.881466561026173e-07,0.0008158463751897216
